Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,11.7,11.89,11.43,11.79,11.79,3920700
1/3/2020,11.54,11.9,11.5,11.81,11.81,2311800
1/6/2020,11.81,11.848,11.05,11.38,11.38,3100700
1/7/2020,11.4,11.45,11.061,11.36,11.36,1718500
1/8/2020,11.12,11.5,11.11,11.42,11.42,1843000
1/9/2020,11.52,12.17,11.44,12.04,12.04,6035200
1/10/2020,12.32,13,12.32,12.83,12.83,6078900
1/13/2020,13.03,14.11,13,13.7,13.7,9669800
1/14/2020,14.27,14.38,13.7,13.97,13.97,7588000
1/15/2020,14.12,15.97,13.75,14.84,14.84,14312900
1/16/2020,15.76,16.01,14.56,14.94,14.94,12309200
1/17/2020,15.04,15.8,14.76,15.64,15.64,6579100
1/21/2020,16.309999,17.6,16.209999,17.299999,17.299999,15302800
1/22/2020,18.43,19.84,18.1,19.719999,19.719999,35159400
1/23/2020,18.93,19.73,17.610001,19.120001,19.120001,24341700
1/24/2020,18.6,19.25,16.23,17.209999,17.209999,19816200
1/27/2020,15.9,18,15.61,17.440001,17.440001,12838600
1/28/2020,17.959999,18.5,17.6,17.969999,17.969999,10946400
1/29/2020,18.16,18.16,17.110001,17.58,17.58,6395300
1/30/2020,17.110001,17.77,16.58,17.1,17.1,7314300
1/31/2020,17.028999,17.83,16.85,17.15,17.15,6247900
2/3/2020,17.15,18.940001,17.15,18.610001,18.610001,8447700
2/4/2020,19.309999,20,18.764999,19.690001,19.690001,14583300
2/5/2020,20.01,20.09,18.040001,18.690001,18.690001,9303200
2/6/2020,18.459999,18.969999,18.049999,18.52,18.52,4819600
2/7/2020,18.459999,19.25,18.280001,18.93,18.93,7035900
2/10/2020,19.309999,20.68,19,20.549999,20.549999,15272300
2/11/2020,21.620001,22.280001,20.75,21.940001,21.940001,16091900
2/12/2020,22.190001,24.48,21.049999,23.08,23.08,27809500
2/13/2020,22.75,24.690001,22.725,23.66,23.66,21910300
2/14/2020,24.559999,28.790001,24.059999,28.68,28.68,45609200
2/18/2020,32.169998,38.720001,28.709999,30.299999,30.299999,103715800
2/19/2020,34.299999,37.5,32,37.349998,37.349998,84891100
2/20/2020,38.790001,42.490002,30.559999,37.259998,37.259998,135902000
2/21/2020,34.419998,36,32.549999,33.869999,33.869999,45220100
2/24/2020,29.6,36.57,29.1,34.290001,34.290001,46110200
2/25/2020,37.18,37.299999,33,34.040001,34.040001,44092700
2/26/2020,31.799999,34.689999,27.6,28.75,28.75,39902700
2/27/2020,23.690001,25,19.110001,21.969999,21.969999,47987700
2/28/2020,19.959999,25.790001,19.25,24.6,24.6,35531200
3/2/2020,27.440001,28,25.049999,25.98,25.98,23598800
3/3/2020,26.9,27.450001,23.76,24.709999,24.709999,20098100
3/4/2020,25.52,25.75,22.860001,23.76,23.76,15466400
3/5/2020,22.68,24.34,22.030001,24.09,24.09,14124100
3/6/2020,22.459999,23.280001,21,21.67,21.67,12867800
3/9/2020,18.389999,20.370001,17,19.440001,19.440001,13307700
3/10/2020,20.809999,21.120001,18,18.440001,18.440001,12406100
3/11/2020,17.92,18.26,15.5,16.41,16.41,13701400
3/12/2020,13.28,16.09,13.13,13.81,13.81,15286900
3/13/2020,15.52,15.78,13.48,14.69,14.69,12044700
3/16/2020,12.19,13.6,11.72,11.91,11.91,10896300
3/17/2020,12.36,13.43,11.19,12.66,12.66,12118200
3/18/2020,11.53,11.77,9.06,10.56,10.56,14362400
3/19/2020,10.08,11.4,9.4,10.49,10.49,10850500
3/20/2020,11.46,14.74,10.986,11.23,11.23,21384300
3/23/2020,11.73,13.34,11.01,12.97,12.97,16785500
3/24/2020,15.59,17.440001,14.631,16.32,16.32,31445700
3/25/2020,17.790001,18.389999,15.4,16,16,23013100
3/26/2020,16.440001,18.18,15.73,17.059999,17.059999,17997300
3/27/2020,16.4,16.4,15.11,15.38,15.38,10919400
3/30/2020,15.41,15.75,14.42,14.76,14.76,9364800
3/31/2020,14.87,15.96,14.55,14.78,14.78,9288300
4/1/2020,13.92,14.43,12.88,13.3,13.3,9423700
4/2/2020,12.94,13.8,12.4,12.96,12.96,8597600
4/3/2020,12.97,13.5,12.1,12.19,12.19,7639000
4/6/2020,13.46,14.49,13.04,14.3,14.3,11532200
4/7/2020,15.73,16.07,13.82,14.07,14.07,13966000
4/8/2020,14.45,15.66,14.11,15.36,15.36,12291400
4/9/2020,16,16.4,14.92,15.27,15.27,10569100
4/13/2020,15.59,15.78,14.81,15.46,15.46,6593000
4/14/2020,16.030001,20.290001,15.96,19.030001,19.030001,38263600
4/15/2020,18.110001,21.07,17.620001,19.98,19.98,31677600
4/16/2020,20.360001,20.799999,17.711,18.299999,18.299999,20736000
4/17/2020,19.209999,19.6,18.5,18.9,18.9,9028700
4/20/2020,18.27,19.85,17.91,19,19,11628300
4/21/2020,18.09,18.9,16.559999,16.870001,16.870001,11508000
4/22/2020,17.709999,17.790001,16.809999,17.27,17.27,8668200
4/23/2020,17.33,17.67,16.379999,16.66,16.66,7805700
4/24/2020,16.67,17.226,16,17.02,17.02,7960100
4/27/2020,17.26,18.461,16.57,17.889999,17.889999,14106600
4/28/2020,18.41,18.83,17.33,17.559999,17.559999,10190900
4/29/2020,17.889999,18.860001,17.799999,18.23,18.23,9394500
4/30/2020,18,18.17,17.219999,17.620001,17.620001,6543600
5/1/2020,17.01,18.1,15.55,17.92,17.92,15421500
5/4/2020,16.959999,17.48,15.9,16.68,16.68,6632500
5/5/2020,16.98,17.370001,16.370001,16.620001,16.620001,7678400
5/6/2020,17.75,18.950001,16.700001,18.5,18.5,23781300
5/7/2020,18.969999,21,18.57,19.84,19.84,24927600
5/8/2020,20.42,21.530001,18.799999,20.18,20.18,23698500
5/11/2020,18.91,19.99,18.5,19.4,19.4,13069600
5/12/2020,19.440001,19.889999,17.549999,17.6,17.6,12741600
5/13/2020,17.52,17.65,16.16,16.540001,16.540001,8986200
5/14/2020,16.25,16.309999,15.05,15.88,15.88,9350500
5/15/2020,15.6,16.459999,15.475,15.62,15.62,7992400
5/18/2020,16.700001,16.799999,15.9,16,16,8669100
5/19/2020,16.01,16.43,15.62,15.87,15.87,6688500
5/20/2020,15.24,15.58,14.81,14.86,14.86,20259900
5/21/2020,15.05,15.28,14.6,14.71,14.71,9460000
5/22/2020,14.96,15.92,14.62,15.74,15.74,13411300
5/26/2020,16.16,16.85,15.42,16.33,16.33,16161000
5/27/2020,17.01,17.74,16.049999,17.52,17.52,20927300
5/28/2020,17,17.25,16.299999,16.469999,16.469999,9844800
5/29/2020,16.41,17.190001,16.299999,17.040001,17.040001,10655900
6/1/2020,18.360001,18.700001,17.26,17.52,17.52,22556000
6/2/2020,16.889999,16.889999,15.76,15.82,15.82,24364000
6/3/2020,15.35,16.790001,15.2,16.389999,16.389999,29900100
6/4/2020,16.209999,16.440001,15.76,15.86,15.86,13581300
6/5/2020,16.209999,16.27,15.66,15.77,15.77,13186300
6/8/2020,16.139999,17.370001,16,17.290001,17.290001,21345200
6/9/2020,17.25,17.290001,16.280001,16.639999,16.639999,11087100
6/10/2020,16.67,16.789,15.86,16.16,16.16,9996400
6/11/2020,15.24,15.66,14.3,14.46,14.46,17517000
6/12/2020,15.13,15.24,14.31,14.99,14.99,11438900
6/15/2020,14.45,15.535,14.21,15.32,15.32,10350200
6/16/2020,16.02,16.08,15.07,15.35,15.35,8624800
6/17/2020,15.28,15.73,14.92,14.98,14.98,6967200
6/18/2020,14.92,15.455,14.77,15.2,15.2,7122200
6/19/2020,15.3,15.67,14.94,15,15,14733000
6/22/2020,17.700001,17.700001,16.120001,17.389999,17.389999,52757800
6/23/2020,17.450001,17.58,16.4,16.450001,16.450001,19659200
6/24/2020,16.24,16.610001,15.3,15.5,15.5,13212300
6/25/2020,15.7,15.83,15.02,15.25,15.25,14516000
