Date,Open,High,Low,Close,Adj Close,Volume
4/30/2020,206.25,206.699997,199.289993,202.669998,202.669998,20094400
5/1/2020,195.75,197.380005,192.860001,194.479996,194.479996,22276200
5/4/2020,194.759995,195,189.529999,191.149994,191.149994,25709400
5/5/2020,196.380005,198.270004,194.199997,195.020004,195.020004,22957200
5/6/2020,197.669998,198.910004,194.929993,195.169998,195.169998,18598900
5/7/2020,198,198.089996,194.779999,196.490005,196.490005,16164600
5/8/2020,199.800003,203.020004,198.679993,201.190002,201.190002,23830100
5/11/2020,202.779999,206.639999,202.380005,205.399994,205.399994,17883700
5/12/2020,206.949997,208.050003,200.020004,200.309998,200.309998,17826800
5/13/2020,203.619995,204.679993,197.979996,199.460007,199.460007,22429700
5/14/2020,195.5,201.770004,194.029999,201.300003,201.300003,20025900
5/15/2020,200.699997,204.490005,200.100006,203.679993,203.679993,17209500
5/18/2020,212.5,215.470001,210.369995,215.279999,215.279999,23646800
5/19/2020,216.729996,220.589996,215.190002,217.199997,217.199997,21438100
5/20/2020,220,221.156998,210.580002,216.789993,216.789993,38324100
5/21/2020,211.289993,214.580002,209.529999,212.160004,212.160004,29850700
5/22/2020,203.229996,204.880005,198.990005,199.699997,199.699997,51979300
5/26/2020,205.940002,206.800003,201,201.720001,201.720001,28683200
5/27/2020,202.990005,202.990005,196.75,201.179993,201.179993,23605400
5/28/2020,199,202.369995,197.619995,199.490005,199.490005,18763200
5/29/2020,200,207.880005,196.699997,207.389999,207.389999,43211500
6/1/2020,205.899994,207.199997,203.940002,206.570007,206.570007,16169700
6/2/2020,207.210007,214.570007,207.169998,214.330002,214.330002,22485800
6/3/2020,215.600006,218.970001,213.75,218.610001,218.610001,19999500
6/4/2020,217.279999,220,216.320007,218.039993,218.039993,14962400
6/5/2020,220,220.589996,218.699997,219.550003,219.550003,11983200
6/8/2020,219.600006,220.399994,215.330002,219,219,12731200
6/9/2020,216.309998,220.720001,216.199997,220.720001,220.720001,14140100
6/10/2020,222,225,220.600006,223.679993,223.679993,13372400
6/11/2020,218,219.949997,213.559998,215.240005,215.240005,15560300
6/12/2020,218.5,219.5,213.880005,217.639999,217.639999,12707600
6/15/2020,214.110001,217.720001,212.75,217.029999,217.029999,17419900
6/16/2020,221,224.839996,220.100006,222.619995,222.619995,17212400
6/17/2020,224.399994,225,222.5,224.25,224.25,12475400
6/18/2020,223.740005,226.029999,222.919998,223.539993,223.539993,10358800
6/19/2020,226.380005,226.5,220.089996,220.639999,220.639999,19545200
6/22/2020,220.919998,222.080002,219.445007,221.410004,221.410004,13303600
6/23/2020,225.119995,230.225006,224.529999,228.75,228.75,18263400
6/24/2020,228.300003,231.029999,224.251999,226.220001,226.220001,12159500
6/25/2020,224.589996,224.690002,220.869995,222.160004,222.160004,14953100
6/26/2020,222.210007,222.259995,213.5,215.710007,215.710007,19340600
6/29/2020,215.029999,216.5,211.820007,215.020004,215.020004,12333000
6/30/2020,215.740005,216.429993,212.889999,215.699997,215.699997,12933800
7/1/2020,215.809998,216.550003,214.740005,215.949997,215.949997,11788100
7/2/2020,221.850006,225.024994,220.059998,223.600006,223.600006,18128700
7/6/2020,233.309998,240.479996,232.820007,240,240,33702900
7/7/2020,241.009995,241.300003,236.130005,236.509995,236.509995,16491600
7/8/2020,244.860001,258.48999,244.020004,257.679993,257.679993,39922700
7/9/2020,265.549988,268,255.910004,261.579987,261.579987,36803900
7/10/2020,260.209991,261.899994,255.710007,261.01001,261.01001,20335000
7/13/2020,261.450012,265.660004,250.679993,251.669998,251.669998,21568700
7/14/2020,246.570007,249.75,241.229996,248.580002,248.580002,19782600
7/15/2020,251.479996,252.5,246.539993,249.210007,249.210007,12614700
7/16/2020,241.770004,245.050003,240.740005,242.5,242.5,18032100
7/17/2020,246.550003,247.929993,244.479996,247.139999,247.139999,18742400
7/20/2020,256.450012,257.670013,252.429993,254.809998,254.809998,19015000
7/21/2020,261.209991,261.920013,256.519989,257.899994,257.899994,17130300
7/22/2020,255.759995,256.269989,249.600006,251.699997,251.699997,19682200
7/23/2020,252.100006,257.660004,248.690002,251.880005,251.880005,25712000
7/24/2020,244.960007,249.479996,241.889999,249,249,17221500
7/27/2020,247.110001,252.869995,245.809998,250.860001,250.860001,18966900
7/28/2020,251.149994,251.649994,248.529999,249.050003,249.050003,9878700
7/29/2020,250.339996,254.300003,250.100006,252.449997,252.449997,11493600
7/30/2020,251.699997,253.860001,249.619995,252.740005,252.740005,7032900
7/31/2020,254.199997,254.399994,248.100006,251.020004,251.020004,12310700
8/3/2020,254.020004,260.649994,254,257.940002,257.940002,11530300
8/4/2020,260.079987,262.559998,258.820007,262.200012,262.200012,10994500
8/5/2020,263.73999,265.976013,261.755005,264.910004,264.910004,10729200
8/6/2020,263.420013,265.700012,259.200012,265.679993,265.679993,10359500
8/7/2020,257.410004,257.76001,247.570007,252.100006,252.100006,22517800
8/10/2020,249.339996,251.75,246.100006,248.130005,248.130005,13621700
8/11/2020,251.289993,252.880005,247.830002,248.419998,248.419998,10681800
8/12/2020,249.25,256.079987,248.679993,255.190002,255.190002,11120400
8/13/2020,256.390015,256.970001,252.880005,253.720001,253.720001,8794500
8/14/2020,255.490005,255.770004,251.639999,253.970001,253.970001,7876400
8/17/2020,253,257.375,250.085007,256.959991,256.959991,9760000
8/18/2020,258.709991,261.420013,256.059998,259.200012,259.200012,13267800
8/19/2020,260.890015,261.290009,257.380005,260.589996,260.589996,14096500
